epoch,train_loss,train_l1,train_ssim_loss,train_perceptual,val_loss,lr,time_seconds
306,0.447193,0.038611,0.341983,0.665990,0.453773,0.000004,84.9
307,0.446276,0.038433,0.341259,0.665835,0.455607,0.000004,84.9
308,0.446370,0.038310,0.341520,0.665398,0.455921,0.000004,85.0
309,0.447021,0.038477,0.341963,0.665811,0.454303,0.000003,84.9
310,0.447147,0.038539,0.342087,0.665208,0.457105,0.000003,84.9
311,0.447778,0.038515,0.342635,0.666278,0.453936,0.000003,84.9
312,0.447416,0.038450,0.342415,0.665508,0.456502,0.000003,84.9
313,0.446799,0.038476,0.341718,0.666054,0.454774,0.000003,84.9
314,0.447308,0.038543,0.342170,0.665946,0.455698,0.000003,85.0
315,0.447559,0.038559,0.342487,0.665129,0.455986,0.000002,84.9
316,0.448661,0.038595,0.343614,0.664512,0.455955,0.000002,85.0
317,0.449033,0.038678,0.343920,0.664353,0.455895,0.000002,85.0
318,0.448024,0.038548,0.342974,0.665017,0.456147,0.000002,85.0
319,0.448489,0.038524,0.343429,0.665363,0.454432,0.000002,84.9
320,0.448311,0.038554,0.343350,0.664071,0.455347,0.000002,84.9
321,0.449796,0.038653,0.344720,0.664231,0.460309,0.000002,84.9
322,0.449024,0.038578,0.343869,0.665762,0.456677,0.000002,85.0
323,0.449151,0.038579,0.344122,0.664491,0.457963,0.000001,84.9
324,0.449170,0.038547,0.344104,0.665185,0.456850,0.000001,84.9
325,0.448990,0.038549,0.343983,0.664574,0.457708,0.000001,84.9
326,0.448928,0.038542,0.343925,0.664605,0.457146,0.000001,85.0
327,0.448206,0.038532,0.343222,0.664520,0.456473,0.000001,84.9
328,0.447991,0.038528,0.342935,0.665281,0.456794,0.000001,84.9
329,0.447613,0.038495,0.342618,0.665009,0.457691,0.000001,84.9
330,0.447403,0.038452,0.342458,0.664936,0.453114,0.000001,84.9
331,0.447158,0.038407,0.342223,0.665267,0.456004,0.000001,84.9
332,0.447657,0.038445,0.342635,0.665758,0.455336,0.000001,84.9
333,0.446941,0.038427,0.341955,0.665587,0.455447,0.000001,84.9
334,0.447076,0.038437,0.342053,0.665855,0.453327,0.000001,84.9
335,0.447543,0.038494,0.342464,0.665855,0.453554,0.000000,84.9
336,0.446871,0.038431,0.341883,0.665568,0.456765,0.000000,84.9
337,0.447071,0.038434,0.342071,0.665664,0.453893,0.000000,84.9
338,0.446679,0.038399,0.341721,0.665592,0.452551,0.000000,84.8
339,0.446486,0.038415,0.341542,0.665297,0.457647,0.000000,84.8
340,0.447301,0.038464,0.342220,0.666178,0.453409,0.000000,84.9
341,0.446894,0.038436,0.341930,0.665273,0.453362,0.000000,84.6
342,0.446753,0.038420,0.341797,0.665353,0.455237,0.000000,84.6
343,0.446960,0.038465,0.341949,0.665464,0.455562,0.000000,84.6
344,0.447127,0.038458,0.342130,0.665388,0.456143,0.000000,84.7
345,0.446744,0.038431,0.341839,0.664747,0.453908,0.000000,84.7
346,0.447106,0.038445,0.342149,0.665119,0.456732,0.000000,84.7
347,0.447159,0.038465,0.342179,0.665155,0.453246,0.000000,84.7
348,0.446939,0.038458,0.341923,0.665581,0.453525,0.000000,84.7
349,0.447508,0.038517,0.342413,0.665782,0.454474,0.000000,84.7
350,0.447260,0.038475,0.342232,0.665536,0.455738,0.000000,84.7
